zip_code,state,county,city,population,population_density,median_household_income,average_household_income,median_age,poverty_rate,unemployment_rate,land_area_sq_mi,geoid
11702,New York,,,13909.0,,,,,,,,
11703,New York,,,17187.0,,,,,,,,
11704,New York,,,40706.0,,,,,,,,
11705,New York,,,8284.0,,,,,,,,
11706,New York,,,68976.0,,,,,,,,
11709,New York,,,6744.0,,,,,,,,
11710,New York,,,34834.0,,,,,,,,
11713,New York,,,9218.0,,,,,,,,
11714,New York,,,22695.0,,,,,,,,
11715,New York,,,3936.0,,,,,,,,
11716,New York,,,9659.0,,,,,,,,
11717,New York,,,,,,,,,,,
11718,New York,,,3179.0,,,,,,,,
11719,New York,,,3235.0,,,,,,,,
11720,New York,,,29292.0,,,,,,,,
11721,New York,,,6426.0,,,,,,,,
11722,New York,,,39033.0,,,,,,,,
11724,New York,,,3073.0,,,,,,,,
11725,New York,,,29073.0,,,,,,,,
11726,New York,,,21455.0,,,,,,,,
11727,New York,,,28495.0,,,,,,,,
11729,New York,,,27231.0,,,,,,,,
11730,New York,,,14247.0,,,,,,,,
11731,New York,,,29999.0,,,,,,,,
11732,New York,,,3228.0,,,,,,,,
11733,New York,,,17752.0,,,,,,,,
11735,New York,,,32028.0,,,,,,,,
11738,New York,,,18877.0,,,,,,,,
11739,New York,,,1225.0,,,,,,,,
11740,New York,,,10127.0,,,,,,,,
11741,New York,,,26667.0,,,,,,,,
11742,New York,,,13202.0,,,,,,,,
11743,New York,,,43490.0,,,,,,,,
11746,New York,,,65747.0,,,,,,,,
11747,New York,,,20513.0,,,,,,,,
11749,New York,,,3600.0,,,,,,,,
11751,New York,,,13726.0,,,,,,,,
11752,New York,,,9204.0,,,,,,,,
11753,New York,,,12435.0,,,,,,,,
11754,New York,,,17565.0,,,,,,,,
11755,New York,,,12144.0,,,,,,,,
11756,New York,,,42665.0,,,,,,,,
11757,New York,,,44413.0,,,,,,,,
11758,New York,,,54375.0,,,,,,,,
11762,New York,,,22487.0,,,,,,,,
11763,New York,,,29973.0,,,,,,,,
11764,New York,,,12551.0,,,,,,,,
11765,New York,,,683.0,,,,,,,,
11766,New York,,,10750.0,,,,,,,,
11767,New York,,,14964.0,,,,,,,,
11768,New York,,,22030.0,,,,,,,,
11769,New York,,,8935.0,,,,,,,,
11770,New York,,,77.0,,,,,,,,
11771,New York,,,10908.0,,,,,,,,
11772,New York,,,45023.0,,,,,,,,
11776,New York,,,22808.0,,,,,,,,
11777,New York,,,9396.0,,,,,,,,
11778,New York,,,12390.0,,,,,,,,
11779,New York,,,38206.0,,,,,,,,
11780,New York,,,15018.0,,,,,,,,
11782,New York,,,14405.0,,,,,,,,
11783,New York,,,21127.0,,,,,,,,
11784,New York,,,26244.0,,,,,,,,
11786,New York,,,6459.0,,,,,,,,
11787,New York,,,34499.0,,,,,,,,
11788,New York,,,17374.0,,,,,,,,
11789,New York,,,7369.0,,,,,,,,
11790,New York,,,21074.0,,,,,,,,
11791,New York,,,25520.0,,,,,,,,
11792,New York,,,8904.0,,,,,,,,
11793,New York,,,32349.0,,,,,,,,
11794,New York,,,831.0,,,,,,,,
11795,New York,,,25379.0,,,,,,,,
11796,New York,,,3560.0,,,,,,,,
11797,New York,,,9402.0,,,,,,,,
11798,New York,,,,,,,,,,,
11801,New York,,,41585.0,,,,,,,,
11803,New York,,,29713.0,,,,,,,,
11804,New York,,,4835.0,,,,,,,,
11901,New York,,,33091.0,,,,,,,,
11930,New York,,,842.0,,,,,,,,
11931,New York,,,27.0,,,,,,,,
11932,New York,,,725.0,,,,,,,,
11933,New York,,,6693.0,,,,,,,,
11934,New York,,,9418.0,,,,,,,,
11935,New York,,,2863.0,,,,,,,,
11937,New York,,,21882.0,,,,,,,,
11939,New York,,,1331.0,,,,,,,,
11940,New York,,,5819.0,,,,,,,,
11941,New York,,,2814.0,,,,,,,,
11942,New York,,,5406.0,,,,,,,,
11944,New York,,,5037.0,,,,,,,,
11946,New York,,,15819.0,,,,,,,,
11947,New York,,,148.0,,,,,,,,
11948,New York,,,924.0,,,,,,,,
11949,New York,,,14563.0,,,,,,,,
11950,New York,,,17599.0,,,,,,,,
11951,New York,,,15938.0,,,,,,,,
11952,New York,,,5040.0,,,,,,,,
11953,New York,,,12846.0,,,,,,,,
11954,New York,,,4223.0,,,,,,,,
11955,New York,,,2458.0,,,,,,,,
11956,New York,,,298.0,,,,,,,,
11957,New York,,,1121.0,,,,,,,,
11958,New York,,,884.0,,,,,,,,
11959,New York,,,734.0,,,,,,,,
11960,New York,,,830.0,,,,,,,,
11961,New York,,,12315.0,,,,,,,,
11962,New York,,,712.0,,,,,,,,
11963,New York,,,8390.0,,,,,,,,
11964,New York,,,2906.0,,,,,,,,
11965,New York,,,404.0,,,,,,,,
11967,New York,,,27975.0,,,,,,,,
11968,New York,,,15312.0,,,,,,,,
11970,New York,,,416.0,,,,,,,,
11971,New York,,,6361.0,,,,,,,,
11972,New York,,,334.0,,,,,,,,
11973,New York,,,48.0,,,,,,,,
11975,New York,,,450.0,,,,,,,,
11976,New York,,,2952.0,,,,,,,,
11977,New York,,,2843.0,,,,,,,,
11978,New York,,,4705.0,,,,,,,,
11980,New York,,,5855.0,,,,,,,,
12007,New York,,,331.0,,,,,,,,
12008,New York,,,422.0,,,,,,,,
12009,New York,,,7934.0,,,,,,,,
12010,New York,,,27750.0,,,,,,,,
12015,New York,,,3852.0,,,,,,,,
12017,New York,,,471.0,,,,,,,,
12018,New York,,,7422.0,,,,,,,,
12019,New York,,,15555.0,,,,,,,,
12020,New York,,,34937.0,,,,,,,,
12022,New York,,,1120.0,,,,,,,,
12023,New York,,,1791.0,,,,,,,,
12024,New York,,,78.0,,,,,,,,
12025,New York,,,5244.0,,,,,,,,
12027,New York,,,4693.0,,,,,,,,
12028,New York,,,1557.0,,,,,,,,
12029,New York,,,1069.0,,,,,,,,
12031,New York,,,120.0,,,,,,,,
12032,New York,,,662.0,,,,,,,,
12033,New York,,,7932.0,,,,,,,,
12035,New York,,,566.0,,,,,,,,
12036,New York,,,223.0,,,,,,,,
12037,New York,,,3926.0,,,,,,,,
12040,New York,,,27.0,,,,,,,,
12041,New York,,,468.0,,,,,,,,
12042,New York,,,280.0,,,,,,,,
12043,New York,,,8287.0,,,,,,,,
12045,New York,,,207.0,,,,,,,,
12046,New York,,,358.0,,,,,,,,
12047,New York,,,23532.0,,,,,,,,
12051,New York,,,5876.0,,,,,,,,
12052,New York,,,1915.0,,,,,,,,
12053,New York,,,4550.0,,,,,,,,
12054,New York,,,17436.0,,,,,,,,
12056,New York,,,1695.0,,,,,,,,
