zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
10453,260.0,242.0,250.0,0.31,3.78,9.3465,233.0,9.0,4.232500000000016,170.0,94.0,11.0,6.47,77.5,90.4,12.9,Datasets broadly similar
10454,137.0,131.0,133.0,0.0,3.03,6.775,131.0,0.0,0.0,159.0,80.0,10.0,6.29,51.1,89.3,38.2,Moderate potential under-reporting signal
10455,208.0,199.0,204.0,0.0,3.0,5.317000000000001,198.0,1.0,0.3569999999999993,184.0,100.0,6.0,3.26,68.0,59.0,-9.0,Datasets broadly similar
10456,256.0,245.0,253.0,0.0,2.02,5.661,245.0,0.0,0.0,123.0,67.0,3.0,2.44,76.4,44.9,-31.5,Datasets broadly similar
10457,220.0,208.0,216.0,0.0,2.91,4.9505,205.0,3.0,1.454499999999996,142.0,79.0,7.0,4.93,70.2,77.5,7.3,Datasets broadly similar
10458,287.0,271.0,282.0,0.0,2.95,9.19,268.0,3.0,1.75,384.0,200.0,36.0,9.38,79.8,98.3,18.5,Datasets broadly similar
10459,180.0,172.0,174.0,0.0,2.68,5.4415,172.0,0.0,0.0,135.0,75.0,9.0,6.67,61.8,92.1,30.3,Moderate potential under-reporting signal
10460,227.0,210.0,221.0,0.0,2.52,4.709473684210527,209.0,1.0,0.35105263157896616,100.0,63.0,8.0,8.0,72.5,97.2,24.7,Moderate potential under-reporting signal
10461,121.0,115.0,118.0,0.0,2.95,5.426470588235294,115.0,0.0,0.0,287.0,152.0,9.0,3.14,44.4,56.2,11.8,Datasets broadly similar
10462,275.0,261.0,269.0,0.0,2.57,5.0945,260.0,1.0,0.5,282.0,160.0,16.0,5.67,78.1,83.7,5.6,Datasets broadly similar
10463,344.0,327.0,336.0,0.46,4.57,7.947,314.0,13.0,2.548000000000002,214.0,122.0,5.0,2.34,84.3,42.1,-42.2,Reporting exceeds restaurant evidence
10464,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,32.0,1.0,2.5,1.7,46.1,44.4,High potential under-reporting signal
10465,62.0,58.0,62.0,0.0,2.0,3.4127777777777784,58.0,0.0,0.0,126.0,85.0,0.0,0.0,28.1,0.0,-28.1,Datasets broadly similar
10466,180.0,171.0,177.0,0.25,2.76,5.435999999999999,171.0,0.0,0.0,158.0,77.0,12.0,7.59,61.8,96.6,34.8,Moderate potential under-reporting signal
10467,452.0,427.0,440.0,0.0,2.77,6.2565,423.0,4.0,0.8700000000000045,282.0,154.0,25.0,8.87,91.0,97.8,6.8,Datasets broadly similar
10468,287.0,273.0,280.0,0.38,3.19,7.4905,272.0,1.0,0.3125,190.0,102.0,11.0,5.79,79.8,84.3,4.5,Datasets broadly similar
10469,158.0,150.0,154.0,0.0,2.6,5.208,150.0,0.0,0.0,175.0,89.0,9.0,5.14,57.3,78.7,21.4,Moderate potential under-reporting signal
10470,60.0,56.0,59.0,0.0,3.04,3.235625,56.0,0.0,0.0,85.0,40.0,5.0,5.88,26.4,86.0,59.6,High potential under-reporting signal
